Office,Name,Party,TwitterHandle,username
U.S. Senate Alabama,Richard Shelby,Republican,@SenShelby,SenShelby
U.S. Senate Alabama,Tommy Tuberville,Republican,@Ttuberville,Ttuberville
U.S. Senate Alabama,Tommy Tuberville,Republican,@SenTuberville,SenTuberville
U.S. Senate Alaska,Lisa Murkowski,Republican,@lisamurkowski,lisamurkowski
U.S. Senate Alaska,Lisa Murkowski,Republican,@LisaForSenate,LisaForSenate
U.S. Senate Alaska,Daniel S. Sullivan,Republican,@SenDanSullivan,SenDanSullivan
U.S. Senate Arizona,Mark Kelly,Democratic,@CaptMarkKelly,CaptMarkKelly
U.S. Senate Arizona,Kyrsten Sinema,Democratic,@SenatorSinema,SenatorSinema
U.S. Senate Arizona,Kyrsten Sinema,Democratic,@kyrstensinema,kyrstensinema
U.S. Senate Arkansas,John Boozman,Republican,@Boozman4AR,Boozman4AR
U.S. Senate Arkansas,John Boozman,Republican,@JohnBoozman,JohnBoozman
U.S. Senate Arkansas,Tom Cotton,Republican,@SenTomCotton,SenTomCotton
U.S. Senate Arkansas,Tom Cotton,Republican,@TomCottonAR,TomCottonAR
U.S. Senate California,Dianne Feinstein,Democratic,@SenFeinstein,SenFeinstein
U.S. Senate California,Dianne Feinstein,Democratic,@DianneFeinstein,DianneFeinstein
U.S. Senate California,Alex Padilla,Democratic,@AlexPadilla4CA,AlexPadilla4CA
U.S. Senate Colorado,Michael Bennet,Democratic,@MichaelBennet,MichaelBennet
U.S. Senate Colorado,Michael Bennet,Democratic,@SenatorBennet,SenatorBennet
U.S. Senate Colorado,John Hickenlooper,Democratic,@Hickenlooper,Hickenlooper
U.S. Senate Colorado,John Hickenlooper,Democratic,@SenatorHick,SenatorHick
U.S. Senate Connecticut,Richard Blumenthal,Democratic,@SenBlumenthal,SenBlumenthal
U.S. Senate Connecticut,Christopher S. Murphy,Democratic,@ChrisMurphyCT,ChrisMurphyCT
U.S. Senate Connecticut,Christopher S. Murphy,Democratic,@SenMurphyOffice,SenMurphyOffice
U.S. Senate Delaware,Tom Carper,Democratic,@SenatorCarper,SenatorCarper
U.S. Senate Delaware,Tom Carper,Democratic,@TomCarperforDE,TomCarperforDE
U.S. Senate Delaware,Chris Coons,Democratic,@ChrisCoonsforDE,ChrisCoonsforDE
U.S. Senate Delaware,Chris Coons,Democratic,@ChrisCoons,ChrisCoons
U.S. Senate Florida,Marco Rubio,Republican,@marcorubio,marcorubio
U.S. Senate Florida,Rick Scott,Republican,@SenRickScott,SenRickScott
U.S. Senate Florida,Rick Scott,Republican,@ScottforFlorida,ScottforFlorida
U.S. Senate Georgia,Jon Ossoff,Democratic,@ossoff,ossoff
U.S. Senate Georgia,Jon Ossoff,Democratic,@SenOssoff,SenOssoff
U.S. Senate Georgia,Raphael Warnock,Democratic,@ReverendWarnock,ReverendWarnock
U.S. Senate Georgia,Raphael Warnock,Democratic,@SenatorWarnock,SenatorWarnock
U.S. Senate Hawaii,Mazie K. Hirono,Democratic,@maziehirono,maziehirono
U.S. Senate Hawaii,Brian E. Schatz,Democratic,@brianschatz,brianschatz
U.S. Senate Hawaii,Brian E. Schatz,Democratic,@SenBrianSchatz,SenBrianSchatz
U.S. Senate Idaho,Mike Crapo,Republican,@MikeCrapo,MikeCrapo
U.S. Senate Idaho,Mike Crapo,Republican,@crapoforsenate,crapoforsenate
U.S. Senate Idaho,Jim Risch,Republican,@SenatorRisch,SenatorRisch
U.S. Senate Idaho,Jim Risch,Republican,@Risch4Idaho,Risch4Idaho
U.S. Senate Illinois,Tammy Duckworth,Democratic,@SenDuckworth,SenDuckworth
U.S. Senate Illinois,Tammy Duckworth,Democratic,@TammyDuckworth,TammyDuckworth
U.S. Senate Illinois,Dick Durbin,Democratic,@DickDurbin,DickDurbin
U.S. Senate Illinois,Dick Durbin,Democratic,@SenatorDurbin,SenatorDurbin
U.S. Senate Indiana,Mike Braun,Republican,@braun4indiana,braun4indiana
U.S. Senate Indiana,Mike Braun,Republican,@SenatorBraun,SenatorBraun
U.S. Senate Indiana,Todd C. Young,Republican,@ToddYoungIN,ToddYoungIN
U.S. Senate Indiana,Todd C. Young,Republican,@SenToddYoung,SenToddYoung
U.S. Senate Iowa,Joni Ernst,Republican,@SenJoniErnst,SenJoniErnst
U.S. Senate Iowa,Joni Ernst,Republican,@joniernst,joniernst
U.S. Senate Iowa,Chuck Grassley,Republican,@ChuckGrassley,ChuckGrassley
U.S. Senate Kansas,Roger Marshall,Republican,@RogerMarshallMD,RogerMarshallMD
U.S. Senate Kansas,Jerry Moran,Republican,@JerryMoran,JerryMoran
U.S. Senate Kentucky,Mitch McConnell,Republican,@LeaderMcConnell,LeaderMcConnell
U.S. Senate Kentucky,Rand Paul,Republican,@RandPaul,RandPaul
U.S. Senate Kentucky,Rand Paul,Republican,@DrRandPaul,DrRandPaul
U.S. Senate Louisiana,Bill Cassidy,Republican,@BillCassidy,BillCassidy
U.S. Senate Louisiana,Bill Cassidy,Republican,@SenBillCassidy,SenBillCassidy
U.S. Senate Louisiana,John Neely Kennedy,Republican,@JohnKennedyLA,JohnKennedyLA
U.S. Senate Louisiana,John Neely Kennedy,Republican,@SenJohnKennedy,SenJohnKennedy
U.S. Senate Maine,Susan Collins,Republican,@SenatorCollins,SenatorCollins
U.S. Senate Maine,Susan Collins,Republican,@SenSusanCollins,SenSusanCollins
U.S. Senate Maine,Angus King,Independent,@SenAngusKing,SenAngusKing
U.S. Senate Maine,Angus King,Independent,@AngusforMaine,AngusforMaine
U.S. Senate Maryland,Ben Cardin,Democratic,@BenCardinforMD,BenCardinforMD
U.S. Senate Maryland,Ben Cardin,Democratic,@SenatorCardin,SenatorCardin
U.S. Senate Maryland,Chris Van Hollen,Democratic,@VanHollenForMD,VanHollenForMD
U.S. Senate Maryland,Chris Van Hollen,Democratic,@ChrisVanHollen,ChrisVanHollen
U.S. Senate Massachusetts,Edward J. Markey,Democratic,@SenMarkey,SenMarkey
U.S. Senate Massachusetts,Elizabeth Warren,Democratic,@SenWarren,SenWarren
U.S. Senate Massachusetts,Elizabeth Warren,Democratic,@ewarren,ewarren
U.S. Senate Michigan,Gary Peters,Democratic,@GaryPeters,GaryPeters
U.S. Senate Michigan,Gary Peters,Democratic,@SenGaryPeters,SenGaryPeters
U.S. Senate Michigan,Debbie Stabenow,Democratic,@stabenow,stabenow
U.S. Senate Michigan,Debbie Stabenow,Democratic,@SenStabenow,SenStabenow
U.S. Senate Minnesota,Amy Klobuchar,Democratic,@amyklobuchar,amyklobuchar
U.S. Senate Minnesota,Amy Klobuchar,Democratic,@SenAmyKlobuchar,SenAmyKlobuchar
U.S. Senate Minnesota,Tina Smith,Democratic,@TinaSmithMN,TinaSmithMN
U.S. Senate Minnesota,Tina Smith,Democratic,@SenTinaSmith,SenTinaSmith
U.S. Senate Mississippi,Cindy Hyde-Smith,Republican,@SenHydeSmith,SenHydeSmith
U.S. Senate Mississippi,Cindy Hyde-Smith,Republican,@cindyhydesmith,cindyhydesmith
U.S. Senate Mississippi,Roger Wicker,Republican,@RogerWicker,RogerWicker
U.S. Senate Mississippi,Roger Wicker,Republican,@SenatorWicker,SenatorWicker
U.S. Senate Missouri,Roy Blunt,Republican,@RoyBlunt,RoyBlunt
U.S. Senate Missouri,Roy Blunt,Republican,@RoyBluntMO,RoyBluntMO
U.S. Senate Missouri,Josh Hawley,Republican,@HawleyMO,HawleyMO
U.S. Senate Montana,Steve Daines,Republican,@SteveDaines,SteveDaines
U.S. Senate Montana,Jon Tester,Democratic,@jontester,jontester
U.S. Senate Montana,Jon Tester,Democratic,@SenatorTester,SenatorTester
U.S. Senate Nebraska,Deb Fischer,Republican,@DebFischerNE,DebFischerNE
U.S. Senate Nebraska,Deb Fischer,Republican,@SenatorFischer,SenatorFischer
U.S. Senate Nebraska,Ben Sasse,Republican,@BenSasse,BenSasse
U.S. Senate Nebraska,Ben Sasse,Republican,@TeamSasse,TeamSasse
U.S. Senate Nevada,Catherine Cortez Masto,Democratic,@CatherineForNV,CatherineForNV
U.S. Senate Nevada,Catherine Cortez Masto,Democratic,@SenCortezMasto,SenCortezMasto
U.S. Senate Nevada,Jacky Rosen,Democratic,RosenforNevada,RosenforNevada
U.S. Senate Nevada,Jacky Rosen,Democratic,@SenJackyRosen,SenJackyRosen
U.S. Senate New Hampshire,Maggie Hassan,Democratic,@Maggie_Hassan,Maggie_Hassan
U.S. Senate New Hampshire,Maggie Hassan,Democratic,@SenatorHassan,SenatorHassan
U.S. Senate New Hampshire,Jeanne Shaheen,Democratic,@JeanneShaheen,JeanneShaheen
U.S. Senate New Hampshire,Jeanne Shaheen,Democratic,@SenatorShaheen,SenatorShaheen
U.S. Senate New Jersey,Cory Booker,Democratic,@CoryBooker,CoryBooker
U.S. Senate New Jersey,Cory Booker,Democratic,@SenBooker,SenBooker
U.S. Senate New Jersey,Bob Menendez,Democratic,@SenatorMenendez,SenatorMenendez
U.S. Senate New Jersey,Bob Menendez,Democratic,@BobMenendezNJ,BobMenendezNJ
U.S. Senate New Mexico,Martin Heinrich,Democratic,@MartinHeinrich,MartinHeinrich
U.S. Senate New Mexico,Martin Heinrich,Democratic,@TeamHeinrich,TeamHeinrich
U.S. Senate New Mexico,Ben Ray Luján,Democratic,@SenatorLujan,SenatorLujan
U.S. Senate New Mexico,Ben Ray Luján,Democratic,@benraylujan,benraylujan
U.S. Senate New York,Kirsten Gillibrand,Democratic,@SenGillibrand,SenGillibrand
U.S. Senate New York,Kirsten Gillibrand,Democratic,@gillibrandny,gillibrandny
U.S. Senate New York,Chuck Schumer,Democratic,@SenSchumer,SenSchumer
U.S. Senate New York,Chuck Schumer,Democratic,@chuckschumer,chuckschumer
U.S. Senate North Carolina,Richard Burr,Republican,@SenatorBurr,SenatorBurr
U.S. Senate North Carolina,Richard Burr,Republican,@RichardPBurr,RichardPBurr
U.S. Senate North Carolina,Thom Tillis,Republican,@ThomTillis,ThomTillis
U.S. Senate North Carolina,Thom Tillis,Republican,@SenThomTillis,SenThomTillis
U.S. Senate North Dakota,Kevin Cramer,Republican,@kevincramer,kevincramer
U.S. Senate North Dakota,Kevin Cramer,Republican,@SenKevinCramer,SenKevinCramer
U.S. Senate North Dakota,John Hoeven,Republican,@SenJohnHoeven,SenJohnHoeven
U.S. Senate Ohio,Sherrod Brown,Democratic,@SenSherrodBrown,SenSherrodBrown
U.S. Senate Ohio,Sherrod Brown,Democratic,@SherrodBrown,SherrodBrown
U.S. Senate Ohio,Rob Portman,Republican,@robportman,robportman
U.S. Senate Ohio,Rob Portman,Republican,@senrobportman,senrobportman
U.S. Senate Oklahoma,Jim Inhofe,Republican,@inhofeforsenate,inhofeforsenate
U.S. Senate Oklahoma,Jim Inhofe,Republican,@JimInhofe,JimInhofe
U.S. Senate Oklahoma,James Lankford,Republican,@jameslankford,jameslankford
U.S. Senate Oklahoma,James Lankford,Republican,@SenatorLankford,SenatorLankford
U.S. Senate Oregon,Jeff Merkley,Democratic,@JeffMerkley,JeffMerkley
U.S. Senate Oregon,Jeff Merkley,Democratic,@SenJeffMerkley,SenJeffMerkley
U.S. Senate Oregon,Ron Wyden,Democratic,@RonWyden,RonWyden
U.S. Senate Oregon,Ron Wyden,Democratic,@WydenForOregon,WydenForOregon
U.S. Senate Pennsylvania,Bob Casey Jr.,Democratic,@Bob_Casey,Bob_Casey
U.S. Senate Pennsylvania,Bob Casey Jr.,Democratic,@SenBobCasey,SenBobCasey
U.S. Senate Pennsylvania,Pat Toomey,Republican,@SenToomey,SenToomey
U.S. Senate Pennsylvania,Pat Toomey,Republican,@PatToomey,PatToomey
U.S. Senate Rhode Island,Jack Reed,Democratic,@jackreed2020,jackreed2020
U.S. Senate Rhode Island,Jack Reed,Democratic,@SenJackReed,SenJackReed
U.S. Senate Rhode Island,Sheldon Whitehouse,Democratic,@SenWhitehouse,SenWhitehouse
U.S. Senate Rhode Island,Sheldon Whitehouse,Democratic,@SheldonforRI,SheldonforRI
U.S. Senate South Carolina,Lindsey Graham,Republican,@LindseyGrahamSC,LindseyGrahamSC
U.S. Senate South Carolina,Lindsey Graham,Republican,@GrahamBlog,GrahamBlog
U.S. Senate South Carolina,Tim Scott,Republican,@SenatorTimScott,SenatorTimScott
U.S. Senate South Carolina,Tim Scott,Republican,@votetimscott,votetimscott
U.S. Senate South Dakota,Mike Rounds,Republican,@RoundsforSenate,RoundsforSenate
U.S. Senate South Dakota,Mike Rounds,Republican,@SenatorRounds,SenatorRounds
U.S. Senate South Dakota,John Thune,Republican,@johnthune,johnthune
U.S. Senate South Dakota,John Thune,Republican,@SenJohnThune,SenJohnThune
U.S. Senate Tennessee,Marsha Blackburn,Republican,@MarshaBlackburn,MarshaBlackburn
U.S. Senate Tennessee,Marsha Blackburn,Republican,@VoteMarsha,VoteMarsha
U.S. Senate Tennessee,Marsha Blackburn,Republican,@MarshaSays,MarshaSays
U.S. Senate Tennessee,Bill Hagerty,Republican,@BillHagertyTN,BillHagertyTN
U.S. Senate Tennessee,Bill Hagerty,Republican,@SenatorHagerty,SenatorHagerty
U.S. Senate Texas,John Cornyn,Republican,@JohnCornyn,JohnCornyn
U.S. Senate Texas,John Cornyn,Republican,@TeamCornyn,TeamCornyn
U.S. Senate Texas,Ted Cruz,Republican,@tedcruz,tedcruz
U.S. Senate Texas,Ted Cruz,Republican,@SenTedCruz,SenTedCruz
U.S. Senate Utah,Mike Lee,Republican,@SenMikeLee,SenMikeLee
U.S. Senate Utah,Mike Lee,Republican,@MikeLeeforUtah,MikeLeeforUtah
U.S. Senate Utah,Mitt Romney,Republican,@MittRomney,MittRomney
U.S. Senate Utah,Mitt Romney,Republican,@SenatorRomney,SenatorRomney
U.S. Senate Vermont,Patrick Leahy,Democratic,@SenatorLeahy,SenatorLeahy
U.S. Senate Vermont,Bernie Sanders,Independent,@BernieSanders,BernieSanders
U.S. Senate Vermont,Bernie Sanders,Independent,@SenSanders,SenSanders
U.S. Senate Virginia,Tim Kaine,Democratic,@timkaine,timkaine
U.S. Senate Virginia,Mark Warner,Democratic,@MarkWarner,MarkWarner
U.S. Senate Virginia,Mark Warner,Democratic,@MarkWarnerVA,MarkWarnerVA
U.S. Senate Washington,Maria Cantwell,Democratic,@MariaCantwell,MariaCantwell
U.S. Senate Washington,Maria Cantwell,Democratic,@SenatorCantwell,SenatorCantwell
U.S. Senate Washington,Patty Murray,Democratic,@PattyMurray,PattyMurray
U.S. Senate Washington,Patty Murray,Democratic,@MurrayCampaign,MurrayCampaign
U.S. Senate West Virginia,Shelley Moore Capito,Republican,@SenCapito,SenCapito
U.S. Senate West Virginia,Joe Manchin III,Democratic,@Sen_JoeManchin,Sen_JoeManchin
U.S. Senate Wisconsin,Tammy Baldwin,Democratic,@tammybaldwin,tammybaldwin
U.S. Senate Wisconsin,Tammy Baldwin,Democratic,@SenatorBaldwin,SenatorBaldwin
U.S. Senate Wisconsin,Ronald Harold Johnson,Republican,@SenRonJohnson,SenRonJohnson
U.S. Senate Wyoming,John Barrasso,Republican,@barrassoforwyo,barrassoforwyo
U.S. Senate Wyoming,John Barrasso,Republican,@SenJohnBarrasso,SenJohnBarrasso
U.S. Senate Wyoming,Cynthia Lummis,Republican,@CynthiaMLummis,CynthiaMLummis
U.S. Senate Wyoming,Cynthia Lummis,Republican,@SenLummis,SenLummis
