Office,Name,Party,Twitter handle
U.S. Senate Alabama,Richard Shelby,Republican,@SenShelby
U.S. Senate Alabama,Tommy Tuberville,Republican,@Ttuberville
U.S. Senate Alabama,Tommy Tuberville,Republican,@SenTuberville
U.S. Senate Alaska,Lisa Murkowski,Republican,@lisamurkowski
U.S. Senate Alaska,Lisa Murkowski,Republican,@LisaForSenate
U.S. Senate Alaska,Daniel S. Sullivan,Republican,@SenDanSullivan
U.S. Senate Arizona,Mark Kelly,Democratic,@CaptMarkKelly
U.S. Senate Arizona,Kyrsten Sinema,Democratic,@SenatorSinema
U.S. Senate Arizona,Kyrsten Sinema,Democratic,@kyrstensinema
U.S. Senate Arkansas,John Boozman,Republican,@Boozman4AR
U.S. Senate Arkansas,John Boozman,Republican,@JohnBoozman
U.S. Senate Arkansas,Tom Cotton,Republican,@SenTomCotton
U.S. Senate Arkansas,Tom Cotton,Republican,@TomCottonAR
U.S. Senate California,Dianne Feinstein,Democratic,@SenFeinstein
U.S. Senate California,Dianne Feinstein,Democratic,@DianneFeinstein
U.S. Senate California,Alex Padilla,Democratic,@AlexPadilla4CA
U.S. Senate Colorado,Michael Bennet,Democratic,@MichaelBennet
U.S. Senate Colorado,Michael Bennet,Democratic,@SenatorBennet
U.S. Senate Colorado,John Hickenlooper,Democratic,@Hickenlooper
U.S. Senate Colorado,John Hickenlooper,Democratic,@SenatorHick
U.S. Senate Connecticut,Richard Blumenthal,Democratic,@SenBlumenthal
U.S. Senate Connecticut,Christopher S. Murphy,Democratic,@ChrisMurphyCT
U.S. Senate Connecticut,Christopher S. Murphy,Democratic,@SenMurphyOffice
U.S. Senate Delaware,Tom Carper,Democratic,@SenatorCarper
U.S. Senate Delaware,Tom Carper,Democratic,@TomCarperforDE
U.S. Senate Delaware,Chris Coons,Democratic,@ChrisCoonsforDE
U.S. Senate Delaware,Chris Coons,Democratic,@ChrisCoons
U.S. Senate Florida,Marco Rubio,Republican,@marcorubio
U.S. Senate Florida,Rick Scott,Republican,@SenRickScott
U.S. Senate Florida,Rick Scott,Republican,@ScottforFlorida
U.S. Senate Georgia,Jon Ossoff,Democratic,@ossoff
U.S. Senate Georgia,Jon Ossoff,Democratic,@SenOssoff
U.S. Senate Georgia,Raphael Warnock,Democratic,@ReverendWarnock
U.S. Senate Georgia,Raphael Warnock,Democratic,@SenatorWarnock
U.S. Senate Hawaii,Mazie K. Hirono,Democratic,@maziehirono
U.S. Senate Hawaii,Brian E. Schatz,Democratic,@brianschatz
U.S. Senate Hawaii,Brian E. Schatz,Democratic,@SenBrianSchatz
U.S. Senate Idaho,Mike Crapo,Republican,@MikeCrapo
U.S. Senate Idaho,Mike Crapo,Republican,@crapoforsenate
U.S. Senate Idaho,Jim Risch,Republican,@SenatorRisch
U.S. Senate Idaho,Jim Risch,Republican,@Risch4Idaho
U.S. Senate Illinois,Tammy Duckworth,Democratic,@SenDuckworth
U.S. Senate Illinois,Tammy Duckworth,Democratic,@TammyDuckworth
U.S. Senate Illinois,Dick Durbin,Democratic,@DickDurbin
U.S. Senate Illinois,Dick Durbin,Democratic,@SenatorDurbin
U.S. Senate Indiana,Mike Braun,Republican,@braun4indiana
U.S. Senate Indiana,Mike Braun,Republican,@SenatorBraun
U.S. Senate Indiana,Todd C. Young,Republican,@ToddYoungIN
U.S. Senate Indiana,Todd C. Young,Republican,@SenToddYoung
U.S. Senate Iowa,Joni Ernst,Republican,@SenJoniErnst
U.S. Senate Iowa,Joni Ernst,Republican,@joniernst
U.S. Senate Iowa,Chuck Grassley,Republican,@ChuckGrassley
U.S. Senate Kansas,Roger Marshall,Republican,@RogerMarshallMD
U.S. Senate Kansas,Jerry Moran,Republican,@JerryMoran
U.S. Senate Kentucky,Mitch McConnell,Republican,@LeaderMcConnell
U.S. Senate Kentucky,Rand Paul,Republican,@RandPaul
U.S. Senate Kentucky,Rand Paul,Republican,@DrRandPaul
U.S. Senate Louisiana,Bill Cassidy,Republican,@BillCassidy
U.S. Senate Louisiana,Bill Cassidy,Republican,@SenBillCassidy
U.S. Senate Louisiana,John Neely Kennedy,Republican,@JohnKennedyLA
U.S. Senate Louisiana,John Neely Kennedy,Republican,@SenJohnKennedy
U.S. Senate Maine,Susan Collins,Republican,@SenatorCollins
U.S. Senate Maine,Susan Collins,Republican,@SenSusanCollins
U.S. Senate Maine,Angus King,Independent,@SenAngusKing
U.S. Senate Maine,Angus King,Independent,@AngusforMaine
U.S. Senate Maryland,Ben Cardin,Democratic,@BenCardinforMD
U.S. Senate Maryland,Ben Cardin,Democratic,@SenatorCardin
U.S. Senate Maryland,Chris Van Hollen,Democratic,@VanHollenForMD
U.S. Senate Maryland,Chris Van Hollen,Democratic,@ChrisVanHollen
U.S. Senate Massachusetts,Edward J. Markey,Democratic,@SenMarkey
U.S. Senate Massachusetts,Elizabeth Warren,Democratic,@SenWarren
U.S. Senate Massachusetts,Elizabeth Warren,Democratic,@ewarren
U.S. Senate Michigan,Gary Peters,Democratic,@GaryPeters
U.S. Senate Michigan,Gary Peters,Democratic,@SenGaryPeters
U.S. Senate Michigan,Debbie Stabenow,Democratic,@stabenow
U.S. Senate Michigan,Debbie Stabenow,Democratic,@SenStabenow
U.S. Senate Minnesota,Amy Klobuchar,Democratic,@amyklobuchar
U.S. Senate Minnesota,Amy Klobuchar,Democratic,@SenAmyKlobuchar
U.S. Senate Minnesota,Tina Smith,Democratic,@TinaSmithMN
U.S. Senate Minnesota,Tina Smith,Democratic,@SenTinaSmith
U.S. Senate Mississippi,Cindy Hyde-Smith,Republican,@SenHydeSmith
U.S. Senate Mississippi,Cindy Hyde-Smith,Republican,@cindyhydesmith
U.S. Senate Mississippi,Roger Wicker,Republican,@RogerWicker
U.S. Senate Mississippi,Roger Wicker,Republican,@SenatorWicker
U.S. Senate Missouri,Roy Blunt,Republican,@RoyBlunt
U.S. Senate Missouri,Roy Blunt,Republican,@RoyBluntMO
U.S. Senate Missouri,Josh Hawley,Republican,@HawleyMO
U.S. Senate Montana,Steve Daines,Republican,@SteveDaines
U.S. Senate Montana,Jon Tester,Democratic,@jontester
U.S. Senate Montana,Jon Tester,Democratic,@SenatorTester
U.S. Senate Nebraska,Deb Fischer,Republican,@DebFischerNE
U.S. Senate Nebraska,Deb Fischer,Republican,@SenatorFischer
U.S. Senate Nebraska,Ben Sasse,Republican,@BenSasse
U.S. Senate Nebraska,Ben Sasse,Republican,@TeamSasse
U.S. Senate Nevada,Catherine Cortez Masto,Democratic,@CatherineForNV
U.S. Senate Nevada,Catherine Cortez Masto,Democratic,@SenCortezMasto
U.S. Senate Nevada,Jacky Rosen,Democratic,RosenforNevada
U.S. Senate Nevada,Jacky Rosen,Democratic,@SenJackyRosen
U.S. Senate New Hampshire,Maggie Hassan,Democratic,@Maggie_Hassan
U.S. Senate New Hampshire,Maggie Hassan,Democratic,@SenatorHassan
U.S. Senate New Hampshire,Jeanne Shaheen,Democratic,@JeanneShaheen
U.S. Senate New Hampshire,Jeanne Shaheen,Democratic,@SenatorShaheen
